Cluster_ID,Keywords,Examples,Stage1_FewShot,Stage2_Critic,Fixed_Label,Label_Source,Root,Parent,Leaf,Coherence_Score,Total_Attempts,Quality
15,"epson, m², paper, photo, sheets",Epson S450132 lamination film 1 pc(s) || Epson S450135 lamination film 100 pc(s) || Epson S450134 lamination film 1 pc(s),Office Supplies > Printing Materials > Photo Paper,Office Supplies > Printing Materials > Photo Paper,Office Supplies > Printing Materials > Photo Paper,Stage2,Office Supplies,Printing Materials,Photo Paper,0.2807,2,Low (<0.30)
16,"black, cm, monitor, pixels, touch","Fujitsu DP - DVI 40cm 0.40 m DisplayPort || HP TFT7600 G2 KVM Console Rackmount Keyboard Intl Monitor rack console 43.9 cm (17.3"") 1440 x 900 pixels 1U || ProDVX SD-14 14"" Integrated Video Display 14.1 1920 x 1080",Electronics > Displays & Monitors > Touch Screen Monitors,Electronics > Monitors > Touch Screen Monitor,Electronics > Monitors > Touch Screen Monitor,Stage2,Electronics,Monitors,Touch Screen Monitor,0.3504,2,Acceptable (0.30-0.45)
17,"black, hub, interface, mbit, usb","AISENS A104-0040 cable interface/gender adapter USB A 2x PS/2 Black,Blue,Green || ASUS 14001-00220300 cable interface/gender adapter USB RJ-45 Black || Techly 1m Lightning/USB2.0 Blue",Electronics > Computer Accessories > Connectors & Adapters,Electronics > Computer Accessories > Connectors & Adapters,Electronics > Computer Accessories > Connectors & Adapters,Stage2,Electronics,Computer Accessories,Connectors & Adapters,0.5131,2,Good (0.45-0.60)
18,"1y, license, norton, symantec, year",VTech Kidicom Max - Etui de Protection Bleu || MSI WindBox DE500-5125W7H D510 1.66 GHz Desktop Black Intel NM10 BGA 559 || Symantec ™ AntiVirus 2012 1 license(s) Dutch,Software > Security Software > Antivirus Licenses,Software > Security Software > Antivirus Licenses,Software > Security Software > Antivirus Licenses,Stage2,Software,Security Software,Antivirus Licenses,0.5307,2,Good (0.45-0.60)
19,"cartridge, original, pc, toner, xerox",HP Q7502A fuser 150000 pages || Xerox ColorQube 9301V/MT Inkjet 50 ppm 600 x 600 DPI A3 || Xerox ColorQube 8580 inkjet printer Colour 2400 x 1200 DPI A4,Office Supplies > Printing Equipment > Toner Cartridges,Office Supplies > Printing Equipment > Toner Cartridges,Office Supplies > Printing Equipment > Toner Cartridges,Stage2,Office Supplies,Printing Equipment,Toner Cartridges,0.4635,2,Good (0.45-0.60)
20,"access, ethernet, mbit, point, wlan",DELL Wireless 1520 (802.11 a/b/g/n) WLAN Internal || D-Link 3.5G HSDPA USB Adapter 3.5 Mbit/s || D-Link DHD-131 AV receiver Black,Electronics > Networking & Connectivity > Wireless Devices,Electronics > Networking & Connectivity > Wireless Devices,Electronics > Networking & Connectivity > Wireless Devices,Stage2,Electronics,Networking & Connectivity,Wireless Devices,0.3316,2,Acceptable (0.30-0.45)
21,"1200, dpi, oki, original, printer",OKI Digital Mono Printer AC Power Supply - Internal power supply unit || OKI 64 Mb RAM for C3000/C5100/C5200 memory module DRAM || OKI 1110301 memory module DRAM,Electronics > Printing Equipment > Printers,Office Supplies > Printers > OKI Printers,Office Supplies > Printers > Printers Products,Stage2,Office Supplies,Printers,Printers Products,0.4588,2,Good (0.45-0.60)
22,"acs, avocent, kvm, switch, vertiv",Vertiv Avocent CAB0286 networking cable 1.8 m || Vertiv Cyclades ACS 6004 RJ-45 || Vertiv Avocent ACS 8016DAC RS-232,Electronics > Networking Equipment > KVM Switches,Electronics > Networking Equipment > KVM Switches,Electronics > Networking Equipment > KVM Switches,Stage2,Electronics,Networking Equipment,KVM Switches,0.2865,2,Low (<0.30)
23,"a4, dpi, epson, inkjet, printer",Epson OT-SB60II: Single battery charger || Epson OT-SC20 (002): Single Printer Charger || Epson Type B IEEE 1394 interface card,Office Supplies > Printing Equipment > Inkjet Printers,Office Supplies > Inkjet Printers > Epson Printer,Office Supplies > Inkjet Printers > Printer,Stage2,Office Supplies,Inkjet Printers,Printer,0.4971,2,Good (0.45-0.60)
24,"cable, fiber, fibre, lc, optic",C2G 27113 cable interface/gender adapter LC Black || C2G 5m ST/SC Simplex 9/125 Single-Mode Fiber Patch fibre optic cable Black || Techly SC/SC Multimode 62.5/125 OM1 1m Fiber Optics Cable ILWL D6-B-010,Electronics > Networking & Connectivity > Fiber Optic Cables,Electronics > Networking & Connectivity > Fiber Optic Cables,Electronics > Networking & Connectivity > Fiber Optic Cables,Stage2,Electronics,Networking & Connectivity,Fiber Optic Cables,0.4428,2,Acceptable (0.30-0.45)
25,"c2g, cable, connector, networking, utp","C2G 98084 cable interface/gender adapter 3.5mm Black || StarTech.com Cat. 6 RJ45 Connector for Solid Wire || C2G 37049 cable interface/gender adapter RJ-45 male RJ-45 female Blue,Red,White",Electronics > Networking & Connectivity > Cables & Connectors,Electronics > Networking & Connectivity > Cables & Connectors,Electronics > Networking & Connectivity > Cables & Connectors,Stage2,Electronics,Networking & Connectivity,Cables & Connectors,0.4281,2,Acceptable (0.30-0.45)
26,"black, flat, mount, panel, vogel",Vogel's Loudspeaker Support (2x) White || Newstar grommet plate for desk mount. || Newstar extension pole,Office Supplies > Furniture Accessories > Mounting Panels,Office Supplies > Mounting Accessories > Panels,Office Supplies > Mounting Accessories > Panels,Stage2,Office Supplies,Mounting Accessories,Panels,0.3756,2,Acceptable (0.30-0.45)
27,"bigben, black, cd, interactive, radio",Bigben Interactive AU319354 Pink || Bigben Interactive BB289121 Black || Denver MPN - Test_Gepard_Test Champagne,Electronics > Home Audio & Video > Alarm Clocks,Electronics > Alarm Clocks > Products,Electronics > Alarm Clocks > Digital Alarm Clocks,Stage2,Electronics,Alarm Clocks,Digital Alarm Clocks,0.1212,2,Low (<0.30)
28,"black, cm, flat, hd, signage",Samsung BCD-1000DG customer display Grey || Samsung SBB-PB28EI4 embedded computer 2.5 GHz 4 GB 128 GB SSD || Samsung SBB-B32D 2.5 GHz AMD Embedded R-Series SoC 4 GB 32 GB SSD,Electronics > Displays & Monitors > Signage Signs,Electronics > Signage Displays > HD Signage,Electronics > Signage Displays > HD Signage,Stage2,Electronics,Signage Displays,HD Signage,0.3301,2,Acceptable (0.30-0.45)
29,"drive, gb, internal, solid, state","StarTech.com 3-Port M.2 SSD (NGFF) Adapter Card - 1 x PCIe (NVMe) M.2, 2 x SATA III M.2 - PCIe 3.0 || StarTech.com x4 PCI Express to M.2 PCIe SSD Adapter || StarTech.com M.2 to SATA SSD adapter – expansion slot mounted",Electronics > Storage > Solid State Drives,Electronics > Computer Hardware > Solid State Drives,Electronics > Computer Hardware > Solid State Drives,Stage2,Electronics,Computer Hardware,Solid State Drives,0.3278,2,Acceptable (0.30-0.45)
30,"drive, fujitsu, gb, internal, sas","HP 24in Super Capacity Option for Smart Array || Fujitsu HDD/SSD Connection Kit 2.5/3.5"" Carrier panel || Fujitsu HD SATA 3.5"" 750GB 3.5"" Serial ATA",Electronics > Storage Devices > Internal Hard Drives,Electronics > Computer Hardware > Internal Hard Drives,Electronics > Computer Hardware > Internal Hard Drives,Stage2,Electronics,Computer Hardware,Internal Hard Drives,0.3858,2,Acceptable (0.30-0.45)
31,"mobile, pc, protector, screen, smartphone",Fractal Design Define R6 TG Side Panel || Sony PCK-LH1AM Funda para LCD || Samsung VG-SCFM43LW/ZA flat panel accessory Frame,Electronics > Computers & Accessories > Screen Protectors,Electronics > Screen Protectors > Products,Electronics > Screen Protectors > Mobile Screen Protectors,Stage2,Electronics,Screen Protectors,Mobile Screen Protectors,0.3919,2,Acceptable (0.30-0.45)
32,"black, cartridge, original, pc, toner",Kodak Alaris Ink Blotters || Lexmark 78C0D30 printer/scanner spare part Developer unit Laser/LED printer || Canon Cartridge BCI-21 3-Color MULTIPACK Original,Office Supplies > Printing Equipment > Toner Cartridges,Office Supplies > Printing Equipment > Toner Cartridges,Office Supplies > Printing Equipment > Toner Cartridges,Stage2,Office Supplies,Printing Equipment,Toner Cartridges,0.5367,2,Good (0.45-0.60)
33,"ethernet, lan, mbit, pc, white",Netgear XAVB1004 200 Mbit/s || Sveon SCT224 Ethernet 100 Mbit/s || D-Link PowerLine AV Ethernet 200 Mbit/s,Electronics > Networking Equipment > Ethernet Adapters,Electronics > Networking Equipment > Ethernet Adapters,Electronics > Networking Equipment > Ethernet Adapters,Stage2,Electronics,Networking Equipment,Ethernet Adapters,0.4816,2,Good (0.45-0.60)
34,"black, digital, media, player, tv",Philips DSR2020/19 AV receiver Black || Conceptronic USB 2.0 Digital TV Receiver || MSI TV@nywhere Satellite II Internal DVB-S PCI,Electronics > Television & Audio Equipment > Digital Media Players,Electronics > Digital Media Players > Black Digital Media Player,Electronics > Digital Media Players > Black Digital Media Player,Stage2,Electronics,Digital Media Players,Black Digital Media Player,0.406,2,Acceptable (0.30-0.45)
35,"buttons, control, press, remote, wireless",Logitech Harmony Hub Black || Logitech Harmony Ultimate Hub Black || DELL RMT-4350 remote control IR Wireless Projector Press buttons,Electronics > Remote Controls > Wireless Control Devices,Electronics > Remote Controls > Wireless Remote Controls,Electronics > Remote Controls > Wireless Remote Controls,Stage2,Electronics,Remote Controls,Wireless Remote Controls,0.5744,2,Good (0.45-0.60)
36,"black, c2g, cable, dvi, hdmi","C2G 39705 cable interface/gender adapter HDMI, HD15, 3.5mm Stereo Aluminium || Fujitsu S26361-F2391-L3 cable interface/gender adapter DVI VGA Black || ACT Adapter DVI-D female to HDMI A male",Electronics > Cables & Connectors > Adapters,Electronics > Cables & Connectors > Adapters,Electronics > Cables & Connectors > Adapters,Stage2,Electronics,Cables & Connectors,Adapters,0.4964,2,Good (0.45-0.60)
37,"black, c2g, cable, rca, video",C2G 5M Value Series RCA-Type audio cable 2 x RCA Black || C2G 3m Velocity Toslink Optical Digital Cable audio cable Black || C2G 0.5m Velocity Toslink Optical Digital Cable audio cable Black,Electronics > Audio & Video Cable > RCA Cables,Electronics > Cables & Connectors > RCA Cables,Electronics > Cables & Connectors > RCA Cables,Stage2,Electronics,Cables & Connectors,RCA Cables,0.5464,2,Good (0.45-0.60)
38,"ata, drive, gb, hp, serial",Lenovo 88Y7373 power supply unit 1400 W || Lenovo 81Y6558 power supply unit 465 W || Lenovo HD-SAS / MINI-SAS,Electronics > Storage Devices > Hard Drives,Electronics > Computer Hardware > Hard Drives,Electronics > Computer Hardware > Hard Drives,Stage2,Electronics,Computer Hardware,Hard Drives,0.3009,2,Acceptable (0.30-0.45)
39,"camcorder, camera, hd, jvc, mp",Sony Corner mount adapter SNCA-CA2 || Sony RM-LVR1 remote control RF Wireless Action camera Press buttons || Sony Outdoor dome SNCA-HRZ50-EXT-R camera housing White,Electronics > Cameras & Video Equipment > Camcorders,Electronics > Camcorders > HD Camcorders,Electronics > Camcorders > HD Camcorders,Stage2,Electronics,Camcorders,HD Camcorders,0.4075,2,Acceptable (0.30-0.45)
40,"black, case, cellularline, hp, logic","Samsung EF-SP520B 25.6 cm (10.1"") Pouch case Grey || Case Logic EVA MP3 Travel Accessory Case Black EVA (Ethylene Vinyl Acetate) || Case Logic Nylon MP3 Player Case Black,Red",Office Supplies > Accessories > Phone Cases,Office Supplies > Accessories > Phone Cases,Office Supplies > Accessories > Phone Cases,Stage2,Office Supplies,Accessories,Phone Cases,0.4859,2,Good (0.45-0.60)
41,"00, drive, dvd, philips, rw",DELL 8x DVD-ROM optical disc drive Internal Grey || HP Mobile USB DVD/RW LightScribe optical disc drive Black DVD±RW || LG GP57EB40.AHLE10B optical disc drive Black DVD Super Multi DL,Electronics > Storage & Retrieval Devices > Optical Drives,Electronics > Optical Disc Drives > DVD Drive,Electronics > Optical Disc Drives > DVD Drive,Stage2,Electronics,Optical Disc Drives,DVD Drive,0.6446,2,Excellent (≥0.60)
42,"drive, flash, gb, type, usb","Duracell 32GB USB 2.0 Performance || Philips Jukebox HDD065 2GB USB 2.0 Black,Silver || Toshiba Pala-Chan 512 MB 0.512 GB",Electronics > Storage Devices > Flash Drives,Electronics > Storage Devices > Flash Drives,Electronics > Storage Devices > Flash Drives,Stage2,Electronics,Storage Devices,Flash Drives,0.3995,2,Acceptable (0.30-0.45)
43,"mp3, mp4, philips, player, sony",Sony LiveView Black || Sony 175642531 MP3/MP4 player accessory || Macally MCUP MP3/MP4 player accessory,Electronics > Audio & Video Players > MP3/MP4 Players,Electronics > MP3/MP4 Players > Philips/Sony Player Accessories,Electronics > MP3/MP4 Players > / Player Accessories,Stage2,Electronics,MP3/MP4 Players,/ Player Accessories,0.7131,2,Excellent (≥0.60)
44,"fujitsu, rok, server, standard, windows","Lenovo Windows Server 2012 Remote Desktop Services, 1 UCAL || Fujitsu Microsoft System Center Essentials 2010, ROK || Lenovo Windows Server 2012 Remote Desktop Services, 5 UCAL",Software > Enterprise Software > Server Licenses,Software > Server Licenses > Fujitsu Windows Server Licenses,Software > Server Licenses > Windows Server Licenses,Stage2,Software,Server Licenses,Windows Server Licenses,0.4634,2,Good (0.45-0.60)
45,"activity, black, cm, tracker, wristband","Samsung Gear IconX MP3 player White 4 GB || Sony SmartBand SWR110 (Small) 3Pk (Red, Blue, Black) strap Mobile phone Black,Blue,Red || Sony SmartBand SWR110 (Large) 3Pk (Purple, Yellow, Pink) strap Pink,Purple,Yellow",Electronics > Wearable Technology > Fitness Trackers,Electronics > Fitness Trackers > Tracker,Electronics > Fitness Trackers > Tracker,Stage2,Electronics,Fitness Trackers,Tracker,0.3104,2,Acceptable (0.30-0.45)
46,"black, ghz, hp, kg, wyse",HP Compaq Pro 6305 SFF AMD A6 A6-5400B 4 GB DDR3-SDRAM 500 GB HDD Black PC || Toshiba dynaEdge DE-100-12U 1.2 GHz White Windows 10 Pro || HP mt40 Mobile Thin Client,Electronics > Computers & Servers > Desktop PCs,Electronics > Desktop PCs > Black HP Desktop PC 1.2 GHz,Electronics > Desktop PCs > Black Desktop PC 1.2 GHz,Stage2,Electronics,Desktop PCs,Black Desktop PC 1.2 GHz,0.5295,2,Good (0.45-0.60)
47,"ata, cable, com, sata, startech",StarTech.com 18in Single Drive Round Floppy Cable - Grey || StarTech.com Micro SATA to SATA Adapter Cable with Power || C2G Go!Data USB 2.0 -> IDE Drive Adapter Blue,Electronics > Computer Accessories > Data Cables & Adapters,Electronics > Computer Accessories > Data Cables & Adapters,Electronics > Computer Accessories > Data Cables & Adapters,Stage2,Electronics,Computer Accessories,Data Cables & Adapters,0.5436,2,Good (0.45-0.60)
48,"line, lite, power, tripp, ups","Tripp Lite UT2012UL battery charger || APC Charger 5V USB for 3210 3310 8210 8250 || APC USB Mobile Phone Charger NEC 2000, 2100, 4000",Electronics > Power Supply > UPS and Battery Chargers,Electronics > Power Supplies > UPS and Battery Chargers,Electronics > Power Supplies > UPS and Battery Chargers,Stage2,Electronics,Power Supplies,UPS and Battery Chargers,0.4105,2,Acceptable (0.30-0.45)
49,"intel, lga, rack, socket, supermicro","Supermicro SFP+, 5m InfiniBand cable SFP+ Black || Supermicro SFP+, 1m InfiniBand cable SFP+ Black || Supermicro QSFP / QSFP, 2m InfiniBand cable Black",Electronics > Computer Components > Motherboard Socket Accessories,Electronics > Computer Components > Motherboard Socket Accessories,Electronics > Computer Components > Motherboard Socket Accessories,Stage2,Electronics,Computer Components,Motherboard Socket Accessories,0.2473,2,Low (<0.30)
50,"black, cm, phone, samsung, white",C2G Tyton 1.25in White || C2G Raceway Dual Gang Junction Box White || C2G 1.25in Outside Corner Raceway White,Office Supplies > Hardware > Junction Boxes,Office Supplies > Hardware > Junction Boxes,Office Supplies > Hardware > Junction Boxes,Stage2,Office Supplies,Hardware,Junction Boxes,0.3844,2,Acceptable (0.30-0.45)
51,"adapter, cable, displayport, hdmi, mini","C2G 29446 cable interface/gender adapter DisplayPort VGA Aluminium,Black || Fujitsu S26391-F6058-L203 cable interface/gender adapter USB C VGA Black || C2G 54341 cable interface/gender adapter DisplayPort HDMI, VGA, DVI Black",Electronics > Computer Accessories > Cables & Adapters,Electronics > Cables & Connectors > Adapters,Electronics > Cables & Connectors > Adapters,Stage2,Electronics,Cables & Connectors,Adapters,0.4722,2,Good (0.45-0.60)
52,"basic, calculator, casio, desktop, pocket",Casio BC-30L || Casio BC-40L || Casio MS-20NC calculator Desktop Basic Pink,Electronics > Calculators > Basic Calculators,Electronics > Calculators > Basic Calculators,Electronics > Calculators > Basic Calculators,Stage2,Electronics,Calculators,Basic Calculators,0.552,2,Good (0.45-0.60)
53,"feeder, hp, lexmark, sheets, tray","HP rp5800 Integration Tray Assembly || Lexmark C734, C736 Forms and Bar Code Card interface cards/adapter || Lexmark 40G0804 tray/feeder Paper tray 2100 sheets",Office Supplies > Printing Equipment > Paper Trays,Office Supplies > Printing Equipment > Paper Trays and Feeders,Office Supplies > Printing Equipment > Paper Trays and Feeders,Stage2,Office Supplies,Printing Equipment,Paper Trays and Feeders,0.5799,2,Good (0.45-0.60)
54,"mbit, module, network, sfp, transceiver","Tripp Lite 10GBase CX4 Cable, 5M (16-ft.) || DELL 470-ABBK InfiniBand cable 5 m SFP+ Black || DELL 407-BBBJ InfiniBand cable 10 m SFP+ Black",Electronics > Networking Equipment > Fiber Optic Transceivers,Electronics > Networking Equipment > Fiber Optic Transceivers,Electronics > Networking Equipment > Fiber Optic Transceivers,Stage2,Electronics,Networking Equipment,Fiber Optic Transceivers,0.3027,2,Acceptable (0.30-0.45)
55,"asus, black, gb, intel, pc","HP AMD A8-6500B processor 3.5 GHz 4 MB L2 || HP AMD A4-3305M processor 1.9 GHz 12 MB L2 || DELL OptiPlex 24 60.5 cm (23.8"") 1920 x 1080 pixels 6th gen Intel® Core™ i5 i5-6500 8 GB DDR4-SDRAM 256 GB SSD Black All-in-One PC",Electronics > Computers & Accessories > PC Systems,Electronics > Computers & Accessories > PCs,Electronics > Computers & Accessories > PCs,Stage2,Electronics,Computers & Accessories,PCs,0.3676,2,Acceptable (0.30-0.45)
56,"black, camera, mp, pixels, sony","Sony i.LINK Cable 4-pin to 6-pin, 3.5m Black || Lenovo Hasselblad True Zoom Black,Grey || Sony HDCU-4300 AV extender AV transmitter Black",Electronics > Cameras & Camcorders > Camera Accessories,Electronics > Cameras & Camcorders > Camera Cables,Electronics > Cameras & Camcorders > Camera Cables,Stage2,Electronics,Cameras & Camcorders,Camera Cables,0.4737,2,Good (0.45-0.60)
57,"black, canon, case, lcs, sony","Sony CKS-X5 Grey || Techly Protective Case for 5 3.5 HDD"" ICA-HD 35FC5 || Sony SDX1CLWW cleaning media",Office Supplies > Cases & Covers > Protective Cases,Office Supplies > Protective Cases > Canon LC-S Black,Office Supplies > Protective Cases > LC-S Black,Stage2,Office Supplies,Protective Cases,LC-S Black,0.5144,2,Good (0.45-0.60)
58,"accessory, black, cabinet, eaton, rack",Eaton SL7-CB-IMS || Eaton NWS-FLB/2F || Eaton XNH1-XGRIP-FCE,Office Supplies > Storage & Shelving > Cabinets,Office Supplies > Cabinets > Products,Office Supplies > Cabinets > Server Rack Cabinets,Stage2,Office Supplies,Cabinets,Server Rack Cabinets,0.1353,2,Low (<0.30)
59,"ethernet, lan, print, server, wireless","OKI LP470/480 Charger || HP Parallel Port Adapter Female IEEE 1284 Parallel Grey || Lexmark Cable, IEEE 1394, 180mm, 7 inch 0.18 m",Electronics > Networking Equipment > Network Adapters,Electronics > Networking Equipment > Ethernet Adapters,Electronics > Networking Equipment > Ethernet Adapters,Stage2,Electronics,Networking Equipment,Ethernet Adapters,0.3818,2,Acceptable (0.30-0.45)
60,"camera, ccd, compact, mp, pixels","Casio EXILIM EX-ZR700 Compact camera 16.1 MP CMOS 4608 x 3456 pixels 1/2.3"" Red || Samsung IT IT100 Compact camera 12.2 MP CCD 4000 x 3000 pixels 1/2.33"" Blue || Canon IXUS 162 Compact camera 20 MP CCD 5152 x 3864 pixels 1/2.3"" Black",Electronics > Cameras & Camcorders > Digital Cameras,Electronics > Cameras & Camcorders > Digital Cameras,Electronics > Cameras & Camcorders > Digital Cameras,Stage2,Electronics,Cameras & Camcorders,Digital Cameras,0.3607,2,Acceptable (0.30-0.45)
61,"cm, gps, samoled, samsung, smartwatch",ASUS 90NZ0010-P01100 smartwatch accessory Band Brown Leather || ASUS ZenWatch 2 Straps Band Khaki Leather || ASUS ZenWatch 2 Straps Band Brown Rubber,Electronics > Wearable Technology > Smartwatches Accessories,Electronics > Smartwatches > Accessories,Electronics > Smartwatches > Accessories,Stage2,Electronics,Smartwatches,Accessories,0.5607,2,Good (0.45-0.60)
62,"black, cm, handheld, hp, mobile","HP ElitePad (24 pack) PoE Adapter 70-pin RJ-45 Black || MSI Pro 24 2M-021RU 59.9 cm (23.6"") 1920 x 1080 pixels Touchscreen Intel Pentium G G3250 4 GB DDR3-SDRAM 500 GB HDD Black All-in-One PC || MSI Pro 24 2M-033RU 59.9 cm (23.6"") 1920 x 1080 pixels Touchscreen 4th gen Intel® Core™ i3 i3-4160 4 GB DDR3-SDRAM 500 GB HDD Black All-in-One PC",Electronics > Computer Accessories > Monitors,Electronics > Monitors > Touch Screen Monitor,Electronics > Computer Accessories > Monitors,Stage1_kept,Electronics,Computer Accessories,Monitors,0.3585,2,Acceptable (0.30-0.45)
